QuestName,QuestDescription,QuestTier,STRWeight,MAGWeight,INSWeight,DEXWeight,PowerForClear,FameReward,GoldReward,FamePenalty,GoldPenalty,StateAfterFail,Days,IsQuesting,QuestHint
"""[제르딘 수도원] - 마법 생물 이탈 방지 작전""","""봉인을 이탈한 마법 생물들을 다시 포획해야 한다.""",2,0.9,1.2,1.1,0.8,10500,1500,1800,600,720,0,1,0,"""봉인 마법에 대한 이해와 속도감 있는 대응이 필요하다."""
"""[검은 심연 협곡] - 심연 속 유실된 사제단의 경전 회수""","""깊은 협곡 바닥 근처에서 유실된 고대 경전을 회수해야 한다.""",1,0.7,1.4,1.1,1.2,10800,5100,4800,780,740,0,3,0,
"""[검은 심연 협곡] - 협곡 음성 현상 조사""","""협곡 깊은 곳에서 들리는 속삭임의 근원을 조사해야 한다.""",1,0.7,1.2,1.4,0.6,13400,3400,3300,1700,1650,0,2,0,
"""[검은 심연 협곡] - 협곡에서의 암흑 교단 토벌""","""금단의 의식을 준비 중인 암흑 교단 잔당을 제거해야 한다.""",1,1.1,1.2,0.8,0.7,15800,7500,7200,3750,3600,0,3,0,"""어둠 저항과 광역 제압 능력이 유리하다."""
"""[검은 심연 협곡] - 협곡 벽면 조사""","""미지의 유물 흔적이 발견된 절벽을 등반해 조사해야 한다.""",1,1.5,1,0.9,0.6,13400,4200,4800,2100,2400,0,2,0,"""강한 팔힘과 등반 기술이 필수적이다."""
"""[검은 심연 협곡] - 침묵의 협곡 심연 소리 정체 규명""","""협곡 아래에서 들려오는 속삭임의 원인을 밝혀야 한다.""",1,0.8,0.7,1.2,1.1,13400,5000,5000,2500,2500,0,2,0,"""고대 마법에 대한 지식이 필요할 것 같다."""
"""[검은 심연 협곡] - 협곡 낙석 통제 임무""","""잦은 낙석으로 인한 재해를 방지해야 한다.""",1,1.4,0.6,1,0.8,11800,1800,1800,900,900,0,1,0,"""고대 마법에 대한 지식이 필요할 것 같다."""
"""[검은 심연 협곡] - 붕괴 직전의 협곡 다리 수복""","""중요한 보급로인 협곡 다리를 긴급히 수복해야 한다. 다리 붕괴에 주의하자.""",1,9,0.6,1.2,1.5,13200,4000,4100,1950,2000,0,2,0,
"""[검은 심연 협곡] - 절망의 협곡 외부 봉인 점검""","""금단 마법의 봉인이 외부에서 약해졌다는 보고가 있어 점검 및 보강이 필요하다.""",1,0.7,1.2,1.3,0.7,13600,3900,4100,1950,2000,0,2,0,
"""[검은 심연 협곡] - 붕괴된 협곡 다리 수리 지원""","""전략적 연결통로가 붕괴되어 다리를 재건하는 동안의 방어와 구조 지원이 필요하다.""",1,1.3,0.5,1,0.9,15000,4150,3750,1975,1875,0,2,0,
"""[검은 심연 협곡] - 심연 속 괴성 원인 파악""","""협곡 내부에서 정체불명의 괴성이 들리기 시작했다. 원인을 파악해야 한다.""",1,0.9,1.1,0.7,1,14100,1950,2100,1200,1300,0,1,0,"""귀 민감한 사람은 추천하지 않는다."""
"""[브루나 항구도시] - 브루나 밀수선 격퇴 작전""","""새벽에 항구에 몰래 들어오는 밀수선을 격퇴하자.""",1,0.9,0.7,1.3,1.1,11400,2000,1900,1000,900,0,1,0,
"""[브루나 항구도시] - 브루나 창고 폭파 테러 저지""","""야심한 밤에 수상한 인물이 창고 테러를 계획중이라는 첩보가 들어왔다. 이를 저지하자. """,1,1,0.7,1.1,1.2,12400,1800,1950,1000,900,0,2,0,
"""[브루나 항구도시] - 항구도시 야간 경비 강화""","""최근 늘어난 야간 강도 사건에 대응하기 위한 추가 경비 요청이다.""",1,0.9,1,0.8,1.1,11600,1700,1800,850,1000,0,1,0,
"""[브루나 항구도시] - 항구 도심 암살자 처치""","""도시 내의 암시장에서 활개치고 있는 암살자를 처치해야 한다.""",1,1.4,1.1,0.7,0.6,13900,2500,2100,1200,1000,0,1,0,
"""[데스하임 늪지] - 늪지 연기 연구 기록 회수""","""늪지에서 발생하는 연기의 독성 실험을 위해 파견된 연구팀의 기록을 회수해야 한다.""",1,0.8,1.4,0.9,0.7,14800,5100,5400,2550,2700,0,3,0,
"""[데스하임 늪지] - 늪 유령 사냥""","""늪 마을 근처에 출몰한 유령 무리를 정화해야 한다.""",1,0.9,1.3,0.8,0.8,15400,5100,5700,2550,2850,0,3,0,
"""[데스하임 늪지] - 불길한 유산의 회수 작전""","""저주받은 묘지에서 부적을 회수해 고위 사제에게 인계해야 한다.""",1,1.2,1.1,0.9,0.6,14700,5100,6300,2550,3150,0,3,0,"""정화 마법을 사용할 수 있는 사람이 필요하다."""
"""[데스하임 늪지] - 늪지 거머리 괴수 제거 작전""","""이례적으로 거대화된 괴수 개체를 퇴치해야 한다.""",1,1.3,0.8,0.7,1,14100,4800,4400,2400,2200,0,2,0,
"""[데스하임 늪지] - 늪의 수색 구조 임무""","""사라진 정찰대를 늪지 안쪽에서 찾아야 한다.""",1,1.1,0.9,1.1,0.9,11600,1850,1700,900,800,0,1,0,
"""[데스하임 늪지] - 붉은 안개 정화 작전""","""늪지 전역에 퍼진 붉은 안개의 원인을 정화해야 한다.""",1,1,1.5,1.1,0.6,15000,7200,7200,3600,3600,0,3,0,"""신성 마법이 매우 효과적이다."""
"""[데스하임 늪지] - 늪 속 봉인 장치 재가동""","""고대 마력 봉인 장치를 다시 작동시켜야 한다.""",1,0.8,1.3,0.8,1,12600,1900,2000,950,1000,0,1,0,"""봉인 언어 해독 능력이 필요하다."""
"""[데스하임 늪지] - 사냥터 정화 요청""","""독성 안개가 진해진 구역의 야영지를 정화하고 안전지대로 확보해야 한다.""",1,0.8,1.3,1,0.6,16600,2500,2490,1250,1245,0,1,0,"""정화 마법 도구와 독 저항이 중요하다."""
"""[데스하임 늪지] - 저주받은 사제단 소탕 작전""","""이단 사제들이 늪지로 도주하여 언데드 부활 의식을 시도 중이다. 이들을 완전소탕하라.""",1,0.8,1.3,0.5,1.4,16500,2400,2490,1250,1245,0,1,0,"""저항 마법이 통하지 않을 경우 버텨낼 것인가,피할 것인가?"""
"""[엘더윈 수도국] - 엘더윈 귀족 저택 방어 임무""","""귀족의 저택이 도적단의 목표가 되었다. 침입을 막아야 한다.""",1,1.3,0.9,0.7,1.1,11900,3400,3600,1700,1800,0,2,0,
"""[카라노스 분화대] - 카라노스 수맥 봉인 작전""","""마그마 흐름이 이상해져 봉인 마법의 재시전이 필요하다.""",1,1.2,1.3,0.8,0.7,16200,7500,7200,3750,3600,0,2,0,
"""[카라노스 분화대] - 분화대 고열 지대 생존 테스트""","""정예 훈련단의 생존 테스트 도중 실종자가 발생했다. 구조 및 탈출 유도가 필요하다.""",1,1.4,0.8,0.9,0.7,14500,6200,6100,2550,3000,0,3,0,
"""[카라노스 분화대] - 분화대 지각 흔들림 감시 임무""","""불안정해진 지각을 감시하고 지진 징후를 기록해야 한다.""",1,1,0.9,1.3,0.7,12500,1800,1900,800,900,0,1,0,
"""[카라노스 분화대] - 분화대 연기 확산 분석 임무""","""급격히 확산되는 화산 연기의 원인을 조사하고 시료를 확보해야 한다.""",1,0.7,1.3,1.1,0.9,15200,6300,6900,3100,3200,0,3,0,
"""[카라노스 분화대] - 마그마 터널 봉쇄 작전""","""분화구 아래 새로 형성된 마그마 터널을 봉쇄해야 한다.""",1,1.2,1.1,0.9,0.8,12100,2100,2100,1050,1050,0,1,0,"""내열 장비와 무거운 도구가 필요하다."""
"""[카라노스 분화대] - 불씨 정령 격리 작전""","""통제 불가능한 불씨 정령을 봉인해야 한다.""",1,1,1.3,1.1,0.6,14400,2150,2000,1100,1050,0,1,0,"""정령 약화 마법이 필요하다."""
"""[카라노스 분화대] - 화염 도가니의 유물 수송 작전""","""지열 폭발 지대에서 회수한 고대 유물을 안전지대로 옮기는 임무이다.""",1,1.1,1,0.7,1.4,11600,1750,1700,900,1050,0,1,0,"""빠르게 옮겨야 할까 신중하게 옮겨야 할까?"""
"""[카라노스 분화대] - 용암길 개척단 호위 임무""","""광맥 탐사를 위한 개척단의 초행길을 호위하며 위험 요소를 제거한다.""",1,1.3,0.8,1.2,0.6,14300,4700,4700,2350,2350,0,2,0,"""기습에 대비한 전방 감지 능력이 요구된다."""
"""[카라노스 분화대] - 분화구 중심부 침투 작전""","""붉은 용족의 알이 발견되었다는 정보에 따라 중심부로 침투하여 알을 탈취해야 한다.""",1,1.2,0.6,0.7,1.4,15900,4650,4700,2300,3600,0,2,0,"""내화성 강화와 전술적 퇴각 경로 확보가 필수이다.  """
"""[모라스 황무지] - 황무지 고대 유적 탐사대 구조 및 조사""","""고대 유적이 붕괴되며 내부 탐사대가 실종되었다. 그들을 구조하고 고대 유적 조사를 이어서 진행하자.""",1,1.2,1,1,0.6,13800,3600,3500,1800,1750,0,2,0,
"""[모라스 황무지] - 황무지 추적 작전: 야수의 발자국""","""거대한 이형 생명체의 흔적을 추적하여 서식지를 특정해야 한다.""",1,1,0.8,1.1,0.9,13200,1950,2000,1800,1750,0,1,0,
"""[모라스 황무지] - 버려진 유적의 함정 해제 요청""","""잊혀진 유적에 설치된 고대 함정을 해제하고 내부를 정리해야 한다.""",1,0.8,1.3,1,0.9,11900,2000,1900,1000,950,0,1,0,"""정밀한 손놀림과 기계 구조에 대한 지식이 요구된다."""
"""[모라스 황무지] - 전쟁 유물 탈취 작전""","""야만족이 점령한 옛 전쟁터에서 유물을 탈취해오자.""",1,1.3,0.7,0.8,1,14100,3900,3900,1950,1950,0,2,0,"""정밀한 손놀림과 기계 구조에 대한 지식이 요구된다."""
"""[모라스 황무지] - 전쟁 망령 재봉인""","""옛 전쟁터에서 부활한 망령을 진정시키고, 재봉인시켜야 한다.""",1,0.9,1.3,1.2,0.6,15800,7100,7350,3400,3550,0,3,0,"""망령을 진정시키는데는 민첩함이 생명일 것 같다."""
"""[모라스 황무지] - 고대 전쟁 병기 파괴""","""[모라스 황무지] - 고대 전쟁 병기 파괴""",1,1.2,0.9,1.1,0.7,13900,4400,3900,2100,1800,0,2,0,
"""[모라스 황무지] - 야만족 연합 지휘관 제거""","""야만족을 통합하려는 지휘관의 암살 작전이다. 기밀 유지가 핵심이다.""",1,0.9,0.5,1.1,1.4,15400,7200,6800,3450,3300,0,3,0,"""정확한 타격과 은밀한 접근이 중요하다."""
"""[제르딘 수도원] - 수도원 마력 격류 제어""","""지하 성소에서 마력 격류가 발생하여 봉인이 위태로운 상황이다.""",1,0.6,1.4,1.1,0.7,13500,3400,3600,1700,1800,0,2,0,
"""[검은 심연 협곡] - 속삭이는 그림자의 부름""","""협곡 깊숙한 틈새에서 들려오는 저주받은 속삭임이 정신을 좀먹는다. 의식을 잃은 자들은 다시 돌아오지 못했다.""",0,0.6,1.1,1.4,0.5,16400,2400,2500,1880,1800,0,1,0,"""강인한 정신력을 지닌 자만이 환청에 잠식되지 않고 끝까지 발을 뗄 수 있다."""
"""[검은 심연 협곡] - 깊은 틈새의 유물 회수""","""고대 금단 마법이 깃든 유물이 협곡의 틈 속에서 반응하고 있다. 유물은 민감하며, 함부로 건드리면 안 된다.""",0,0.8,1.3,1,0.6,18100,5200,5200,3380,3120,0,2,0,"""유물의 마력을 제어하려면 육체적 힘보다 정교한 마법 조율이 필요하다."""
"""[검은 심연 협곡] - 암흑굴 파수꾼 격퇴""","""검은 심연 가장 깊은 굴의 수문장, '어둠의 눈'이 깨어났다. 파수꾼은 어둠 속에서 움직이며 순간이동도 한다.""",0,1.4,0.6,0.8,0.8,21800,9300,9600,6000,6200,0,3,0,"""강력한 물리 공격력이 없다면 그림자 속의 존재를 제압할 수 없다."""
"""[검은 심연 협곡] - 봉인의 균열""","""협곡에 잠들어 있던 고대 봉인이 미세하게 흔들리고 있다. 영적인 간섭을 막고 균열을 다시 틀어막아야 한다.""",0,0.6,1.3,1.2,0.6,17100,2500,2500,1625,1625,0,3,0,"""격한 행동보다 세밀한 마법적 감각이 중요하다."""
"""[검은 심연 협곡] - 심연 아래의 진실""","""수백 년간 덮여 있던 암흑의 진실이 드러났다. 비밀은 존재 자체로 재앙을 부른다. 힌트: 진실에 가까워질수록 정신의 혼란은 심해진다. 명료한 사고가 필요한 순간이다.""",0,0.7,1.1,1.2,0.6,19800,5800,6000,3770,3900,0,2,0,"""격한 행동보다 세밀한 마법적 감각이 중요하다."""
"""[검은 심연 협곡] - 그림자의 파편 회수""","""고대 의식의 실패로 생성된 그림자의 파편이 협곡 주변을 부유하고 있다. 수거는 신중하게 이루어져야 한다.""",0,0.5,0.9,1.4,0.8,16050,2500,2400,1625,1560,0,1,0,"""물리적 힘보다는 감각적 통찰이 우선시된다."""
"""[검은 심연 협곡] - 침식된 광신도 처리""","""고대 의식의 실패로 생성된 그림자의 파편이 협곡 주변을 부유하고 있다. 수거는 신중하게 이루어져야 한다.""",0,0.5,0.9,1.4,0.8,17300,5400,5200,3500,3300,0,2,0,"""빠르고 강한 공격이 필요하지만, 순간적인 판단도 놓치지 말아야 한다."""
"""[검은 심연 협곡] - 어둠의 맹세를 파기하라""","""고대 맹약의 제단이 다시 활동을 시작했다. 어둠과 계약한 존재가 다시 소환되고 있다.""",0,0.7,1.3,1.1,0.5,19000,8400,8100,5460,5200,0,3,0,"""어둠과 싸우기 위해선, 그 본질을 이해해야 한다."""
"""[검은 심연 협곡] - 속삭임의 틈 봉쇄""","""협곡 깊은 곳, 봉인되지 않은 틈에서 귓가에 속삭이는 어둠의 존재가 나타났다. 더 늦기 전에 틈을 닫아야 한다.""",0,0.6,1.2,1.3,0.5,21200,6200,6000,4030,3900,0,2,0,"""쉽게 동요하지 않는 강인한 정신이 열쇠다."""
"""[검은 심연 협곡] - 심연 군단의 침공 저지""","""봉인이 해제되며 심연 군단이 협곡을 넘어 퍼져나가고 있다. 이 침공을 저지하지 못하면 대륙 전체가 위험에 처한다.""",0,1.5,0.5,0.8,0.8,22000,6200,6000,6240,6045,0,3,0,"""극단적 전투 상황. 압도적인 힘이 없다면 맞서 싸울 수 없다."""
"""[데스하임 늪지] - 망령의 장막을 걷어라""","""늪지의 중앙에 나타난 거대한 망령의 장막이 주변 생태계를 뒤틀고 있다. 장막을 걷어내고 그 근원을 정화해야 한다.""",0,0.8,1.1,0.9,0.8,16300,2600,2500,1560,1560,0,1,0,
"""[데스하임 늪지] - 저주의 수렁, 빛을 되찾다""","""고대 수도 유적 아래에서 강력한 언데드 군주가 깨어났다. 저주의 원천을 파괴하고 빛을 회복해야 한다.""",0,1.4,0.5,0.9,0.9,21800,9450,9600,5670,5800,0,3,0,"""언데드 군주는 마법 공격이 통하지 않는다."""
"""[데스하임 늪지] - 수면 아래 속삭이는 자들""","""독성 늪지 수면 아래에서 정체불명의 속삭임이 정신을 잠식시킨다. 정령계와 연결된 균열을 닫아야 한다.""",0,0.6,0.9,1.4,0.7,17400,4500,4600,2700,2800,0,2,0,"""속삭임에 현혹되지 않을 강인한 정신력이 요구될 것이다."""
"""[데스하임 늪지] - 잊힌 순례자의 행방""","""수십 년 전 이곳에 들어간 성직자의 기록이 발견되었다. 그가 찾던 ‘영원의 성소’를 밝혀야 한다.""",0,0.7,0.8,1.1,1.1,17400,2750,2850,1710,1760,0,1,0,
"""[데스하임 늪지] - 불길한 수확제""","""죽은 자들을 기리는 ‘늪지의 수확제’ 의식 진행 중 악령들이 현세로 튀어나왔다. 제단을 봉인해야 한다.""",0,1.3,1,0.8,0.7,16700,4800,4900,2460,2500,0,2,0,
"""[데스하임 늪지] - 수액의 정령, 부패의 근원""","""유독한 수액이 자연을 오염시키고 있다. 숨어있는 부패의 정령을 찾아 그 심장을 파괴해야 한다.""",0,1,1.2,0.9,0.7,19500,5550,5400,2800,2700,0,2,0,
"""[데스하임 늪지] - 잠든 영혼의 속삭임""","""고대 전쟁의 영혼들이 늪지에 나타나 이성을 잃은 채 떠돌고 있다. 그들을 안식으로 이끌어야 한다.""",0,0.6,0.8,0.9,1.3,16000,2450,2700,1470,1600,0,1,0,
"""[데스하임 늪지] - 마력 누출 지점 봉인""","""오래된 마법 탑의 붕괴로 마력이 누출되고 있다. 혼돈의 균열을 따라가 중심 지점을 봉인해야 한다.""",0,0.6,1.4,0.7,1.4,21000,6350,6200,3800,3800,0,2,0,
"""[데스하임 늪지] - 탐욕의 무덤""","""검은 안개 속에서 사라진 고대 상단의 금고가 발견되었다. 내부는 탐욕에 사로잡힌 망자의 무덤이 되었다.""",0,0.8,1.2,1.1,0.8,18000,2950,2800,1690,1740,0,1,0,
"""[데스하임 늪지] - 악취의 군주를 쫓아라""","""늪의 깊은 지하에서 끊임없는 썩은 기운이 퍼지고 있다. 이를 다스리는 ‘악취의 군주’를 무너뜨려야 한다.""",0,1.2,1.4,0.8,0.9,20300,9000,8850,5200,5030,0,3,0,"""악취의 군주는 성속성 마법에 약하다는 정보가 있다."""
"""[카라노스 분화대] - 화염의 심장을 깨워라""","""분화대 중심부에 잠든 고대 화염 정령이 깨어나려 한다. 봉인을 다시 강화하지 않으면 이 일대는 불바다가 된다.""",0,0.6,1.4,1,0.8,16100,2500,2500,1600,1600,0,1,0,"""화염정령은 물리 공격에 강하다."""
"""[카라노스 분화대] - 화염 정령 진격 저지""","""분화대 아래에서 암흑에 물든 화염 정령들이 몰려오고 있다. 그들의 행진을 반드시 막아야 한다.""",0,0.7,1.4,0.9,0.9,17500,5400,5400,3400,3400,0,2,0,
"""[카라노스 분화대] - 마그마 심판자의 격노""","""고대 화염룡의 분노가 봉인을 무너뜨리고 있다. 주변 용암이 전염병처럼 확산되며 생태계가 무너지게 될 것이다.""",0,1.1,1.4,0.6,0.7,18900,8700,8700,5400,5400,0,3,0,
"""[카라노스 분화대] - 연기 속의 사라진 부대""","""연기에 휩싸인 채 연락이 두절된 정찰대. 구조와 동시에 근처 화염 골렘을 제압해야 한다.""",0,0.9,1.3,0.8,0.8,16300,2600,2500,1700,1600,0,1,0,"""구조 대상은 동굴 내부에 있다. 빛 속성 마법을 다루는 자가 필요하다."""
"""[카라노스 분화대] - 용암 바다 위의 결투""","""새로운 용족 전사 '잿빛 칼날'이 도전장을 내밀었다. 화염의 투기장 위에서 목숨을 건 전투가 시작된다.""",0,1.4,1,0.5,0.6,17900,5400,5700,3360,3700,0,2,0,
"""[카라노스 분화대] - 마그마 골렘 핵 제거 작전""","""마그마 골렘이 용암 강을 막고 있다. 중심부의 마법 핵을 정확히 제거하지 않으면 도시 전체가 위험하다""",0,0.5,1.2,1,1.4,16700,2600,2600,1560,1560,0,1,0,"""빠른 속도가 생명이다."""
"""[카라노스 분화대] - 붉은 재앙의 전조""","""거대한 용암 틈에서 정체불명의 생물이 나타나고 있다. 이 존재는 과거 대재앙의 시작과 관련이 있다는 정보가 있다. 생물들을 모두 처치하여 재앙을 사전에 봉쇄하자.""",0,0.7,1.3,1.1,0.8,19300,8700,8400,5100,4900,0,1,0,"""지각 아래에서 활동하는 적으로, 열 감지 마법이 효과적이다."""
"""[카라노스 분화대] - 타오르는 제단의 악몽""","""봉헌된 제단에서 악마의 힘이 깨어나고 있다. 의식을 중단시키지 못하면 봉인된 고대 악마가 해방된다.""",0,0.5,1.2,1.1,1.2,17200,5300,5300,3180,3180,0,2,0,
"""[카라노스 분화대] - 붉은 그림자 제거""","""최근 들어 나타난 정체불명의 화염 암살자가 카라노스 수비대를 하나씩 제거하고 있다. 추적해 제거해야 한다.""",0,1.2,1.1,0.5,1.1,18500,5900,5900,3540,3540,0,2,0,"""암살자에 대한 정보가 없다. 일단 신중하게 접근해야 할 것 같다."""
"""[카라노스 분화대] - 지열의 심장 파괴 임무""","""분화대 깊숙이 잠든 ‘지열의 심장’을 파괴해야 한다. 실패 시 대륙 전체가 용암에 잠길 위험이 있다.""",0,0.6,1.4,0.9,1,20000,9100,9400,5230,5580,0,3,0,"""내부 온도가 극심하게 높다. 고열 내성 마법이 필요하다."""
"""[모라스 황무지] - 말라붙은 생명의 울음""","""황무지 어딘가, 죽어가는 생명의 기척이 느껴진다. 그것은 도움을 구하고 있는가, 아니면 덫인가.""",0,0.6,0.9,1.5,0.6,16700,2600,2500,1690,1500,0,1,0,"""그 소리에 귀 기울이는 자는, 무언가를 '느낄' 수 있어야 한다."""
"""[모라스 황무지] - 칼날 모래 폭풍의 진원""","""황무지를 덮친 예측불가한 모래폭풍의 중심에는, 깨어난 마도 장치가 있다고 한다.""",0,1.1,1,0.6,1.4,19300,5600,6800,3360,3480,0,2,0,"""폭풍은 멈추지 않는다. 끊임없이 이동해야 한다."""
"""[모라스 황무지] - 검게 마른 고목의 저주""","""고목에 깃든 마력은 황무지 생물체를 미쳐 날뛰게 만든다. 저주를 해제할 방법은 극히 드물지만, 반드시 저주를 해제해야 한다.""",0,0.5,1.4,1.2,0.6,18200,5400,5200,2970,2800,0,2,0,"""직접 베어 넘기기보다는, 고목이 깃든 마력을 역류시켜야 한다."""
"""[모라스 황무지] - 썩어가는 유산""","""사라진 제국의 유산이 황무지 속에서 썩어가며 광기를 퍼뜨린다. 그 유산은 불완전한 생명체다.""",0,1.2,0.8,1,0.6,21200,9000,9300,5670,5900,0,3,0,"""유산의 잔재는 약하지만, 빠르게 퍼진다. 섬세한 통제력이 필요하다."""
"""[모라스 황무지] - 이끌림 없는 묘혈""","""오래된 무덤이 저절로 열리고 있다. 시신은 사라졌고, 그 자리에 검은 구슬만 남아 있다.""",0,0.5,1.3,1.4,0.5,17700,2700,2800,1700,1700,0,1,0,"""어떤 이들은 그곳에서 들려오는 '속삭임'을 들었다고 한다."""
"""[모라스 황무지] - 모래 속 감시자의 눈""","""감시자는 움직이지 않는다. 다만, 황무지 어딘가에서 모든 것을 보고 있다. 이 감시자를 처치하라.""",0,0.6,1,1.4,1.1,20100,5800,5600,3500,3300,0,2,0,"""빠른 반사신경만으로는 피할 수 없는 공격이 있다. 공격을 예측하는 것이 중요하다."""
"""[모라스 황무지] - 무언의 사막 의식""","""모래에 새겨진 문양들이 스스로 변하고 있다. 이 의식이 끝나면 황무지는 재앙의 땅이 될것이다. 이를 막아야 한다.""",0,0.6,1.1,1.4,0.8,18700,2670,2750,1725,1500,0,1,0,"""문양의 변화는 느리지만, 파악하지 못하면 손쓸 수 없다."""
"""[모라스 황무지] - 바람이 잠든 봉인""","""봉인의 인장이 약해지며 사막의 바람이 멎었다. 정체불명의 존재가 일어나려 한다.""",0,1.3,0.5,0.7,1.2,21800,3200,3100,2100,2000,0,1,0,"""바람이 멈췄다는 것은, 곧 무언가가 발생하기 직전이라는 뜻이다."""
"""[모라스 황무지] - 말없는 화염의 전승자""","""수백 년 전 대전쟁에서 살아남은 고대 불의 전승자가 나타났다. 말은 없지만 파괴만이 남는다.""",0,0.8,1,0.6,1.5,19900,6000,5800,3900,3480,0,2,0,"""그의 기술을 막으려면, 화염보다 빠르게 움직여야 한다."""
"""[모라스 황무지] - 영겁의 메아리""","""과거의 메아리가 공간을 갈라 지금 이 순간에 충돌하고 있다. 사라진 목소리는 누구를 부르는가.""",0,0.7,1.2,1.4,0.7,17100,7800,7500,4850,4700,0,3,0,"""기억에 휘둘리지 않는 자만이 메아리 속 진실을 마주할 수 있다."""
